##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	DRR817419_forward.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4808641
Total Bases	726.1 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1113	30-34	-0.02064761650492386
1113	35-39	-0.04131434018889735
1113	40-44	-0.014112641965120076
1113	45-49	-0.03851349548616412
1113	50-54	0.034603789155084996
1113	55-59	0.09300953480905605
1113	60-64	0.002035518401399372
1113	65-69	0.028857102666826506
1113	70-74	0.06504352862442886
1113	75-79	0.05909085652483981
1113	80-84	0.026327029564363613
1113	85-89	0.02243800715856281
1113	90-94	0.032496913496451896
1113	95-99	0.03867156059809673
1113	100-104	0.11764069403059096
1113	105-109	0.025958600075483673
1113	110-114	0.10193350875784546
1113	115-119	-0.0016661781798887887
1113	120-124	0.07016721242301571
1113	125-129	0.1413299667745349
1113	130-134	0.017247088624841922
1113	135-139	0.03366237418123319
1113	140-144	0.08186818180026734
1113	145-149	0.09425423442762337
1113	150-151	0.18248311845449194
1114	1	-0.14765341418576128
1114	2	-0.1842388175729468
1114	3	-0.01980109283748277
1114	4	-0.11740626988837732
1114	5	0.12095347563329995
1114	6	-0.018644700000628234
1114	7	0.1515907964088825
1114	8	0.06597983641115235
1114	9	3.6902632380986233E-4
1114	10-14	0.04031388852475004
1114	15-19	0.06337347164539153
1114	20-24	0.040722714411593586
1114	25-29	0.09778829142786094
1114	30-34	0.04570763359269847
1114	35-39	-0.03766389823139349
1114	40-44	0.0888873466104485
1114	45-49	0.04479292323001971
1114	50-54	0.07915315916487486
1114	55-59	0.034082584641765834
1114	60-64	0.04263714241797345
1114	65-69	0.026251256986704163
1114	70-74	0.10915581331589408
1114	75-79	0.07663609559451601
1114	80-84	0.04322228566987718
1114	85-89	0.020269246796765117
1114	90-94	0.07804733253788498
1114	95-99	0.0024859498714988604
1114	100-104	0.06841510249703475
1114	105-109	0.06715644502444462
1114	110-114	-0.016151568313397036
1114	115-119	0.0046686020241253345
1114	120-124	0.040842712191498265
1114	125-129	0.019710036114112484
1114	130-134	0.03898415331199345
1114	135-139	-0.03636105934436529
1114	140-144	0.056625832641408635
1114	145-149	0.11447520981872117
1114	150-151	0.169605767793648
1115	1	0.203634490806742
1115	2	0.17425305375185474
1115	3	-0.008178816808424472
1115	4	-0.041769235413575245
1115	5	0.036055516449621905
1115	6	0.05839438682054521
1115	7	0.08335143286685565
1115	8	0.13480953778322657
1115	9	0.2190707442991382
1115	10-14	0.051117070814612475
1115	15-19	0.004889440744889839
1115	20-24	-0.03918689010818355
1115	25-29	0.04661707039707608
1115	30-34	0.10271950952950704
1115	35-39	0.08829574664350304
1115	40-44	0.06783811335782275
1115	45-49	0.05883558436226366
1115	50-54	0.07821968747111185
1115	55-59	0.04515879817802215
1115	60-64	0.07866988771947803
1115	65-69	0.02674566491936048
1115	70-74	-0.01807305789360214
1115	75-79	0.052734792700476874
1115	80-84	0.05409926018849376
1115	85-89	0.022977421592109692
1115	90-94	0.06369105443341994
1115	95-99	0.09811698872771757
1115	100-104	0.1026251797482658
1115	105-109	0.07090509024524749
1115	110-114	-0.009004790958378805
1115	115-119	0.059540503327028205
1115	120-124	0.07518561545449387
1115	125-129	0.14839999345297628
1115	130-134	0.08598980302950565
1115	135-139	0.10668886571038882
1115	140-144	0.06409360619151272
1115	145-149	0.0675064562155896
1115	150-151	0.1396276748615648
1116	1	-0.03607443652431641
1116	2	0.038368424373359744
1116	3	0.10055005561574859
1116	4	0.02193598735625102
1116	5	0.07649874074095919
1116	6	0.004500959109101643
1116	7	0.11373677338880128
1116	8	0.15127631249958995
1116	9	0.07906479054000215
1116	10-14	0.09711925385963127
1116	15-19	0.009343911025716523
1116	20-24	0.07425788877581851
1116	25-29	0.029310418725060572
1116	30-34	0.012574833182469547
1116	35-39	0.052698617678466064
1116	40-44	0.0535014613550473
1116	45-49	-0.020059397941835755
1116	50-54	0.0019988691599905906
1116	55-59	0.0216168407143158
1116	60-64	0.021793229762941735
1116	65-69	-0.023862875417350438
1116	70-74	0.012693852436171937
